Date and Time,Latitude,Longitude,Magnitude,Depth
 18-OCT-2019 22:25:37 , 26.54 , 142.98 ,4.6 ,10 
 18-OCT-2019 22:02:19 , -7.09 , 129.13 ,4.8 ,167 
 18-OCT-2019 21:18:49 , -17.98 , -174.50 ,5.3 ,10 
 18-OCT-2019 19:14:10 , 28.20 , 139.86 ,4.6 ,428 
 18-OCT-2019 16:48:10 , 23.17 , 94.22 ,4.9 ,76 
 18-OCT-2019 15:54:11 , 35.50 , -1.08 ,4.3 ,10 
 18-OCT-2019 14:33:12 , -5.50 , 128.82 ,4.0 ,298 
 18-OCT-2019 13:25:48 , -18.14 , -178.09 ,5.3 ,621 
 18-OCT-2019 13:18:43 , 4.83 , 125.29 ,5.1 ,63 
 18-OCT-2019 13:09:01 , 66.32 , -157.32 ,5.2 ,18 
 18-OCT-2019 10:56:20 , 6.82 , 124.98 ,4.9 ,10 
 18-OCT-2019 10:54:12 , -15.34 , -172.31 ,4.9 ,10 
 18-OCT-2019 10:32:53 , 32.85 , 73.65 ,4.7 ,44 
 18-OCT-2019 07:45:18 , -18.77 , -172.79 ,5.1 ,10 
 18-OCT-2019 05:58:12 , -7.93 , 115.62 ,4.3 ,245 
 18-OCT-2019 04:09:42 , 26.56 , 55.16 ,4.2 ,35 
 18-OCT-2019 03:00:14 , 29.00 , 51.33 ,4.2 ,26 
 18-OCT-2019 02:28:12 , -29.38 , -69.76 ,4.5 ,105 
 18-OCT-2019 00:58:28 , 66.29 , -157.27 ,5.3 ,10 
 18-OCT-2019 00:56:51 , 78.77 , 10.50 ,4.9 ,10 
 17-OCT-2019 22:53:38 , -29.89 , -177.68 ,4.1 ,39 
 17-OCT-2019 22:00:10 , -23.85 , 179.87 ,4.3 ,519 
 17-OCT-2019 20:43:27 , 42.99 , -126.33 ,4.8 ,10 
 17-OCT-2019 20:42:05 , -14.52 , 167.59 ,4.4 ,102 
 17-OCT-2019 19:50:58 , 42.66 , 141.80 ,4.5 ,121 
 17-OCT-2019 19:34:07 , -2.90 , 141.63 ,5.5 ,18 
 17-OCT-2019 18:33:09 , -6.36 , 146.23 ,4.2 ,105 
 17-OCT-2019 17:18:05 , 51.22 , -178.69 ,4.1 ,35 
 17-OCT-2019 17:12:41 , -6.52 , 130.08 ,4.5 ,163 
 17-OCT-2019 16:58:28 , -46.40 , -69.06 ,4.4 ,10 
 17-OCT-2019 15:05:53 , 6.72 , 125.06 ,4.9 ,30 
 17-OCT-2019 13:44:29 , -34.32 , -72.38 ,4.6 ,10 
 17-OCT-2019 11:44:33 , 24.02 , 122.57 ,5.2 ,28 
 17-OCT-2019 06:52:41 , 11.35 , -86.81 ,4.4 ,43 
