Date and Time,Latitude,Longitude,Magnitude,Depth
 05-NOV-2019 16:10:40 , -24.99 , 179.78 ,4.5 ,503 
 05-NOV-2019 16:05:01 , 23.32 , 142.17 ,4.2 ,10 
 05-NOV-2019 16:04:50 , 6.73 , -73.00 ,4.3 ,155 
 05-NOV-2019 15:59:38 , 11.87 , 143.74 ,5.1 ,10 
 05-NOV-2019 15:41:27 , 42.34 , 143.14 ,4.7 ,60 
 05-NOV-2019 13:44:09 , 37.55 , 71.78 ,4.4 ,110 
 05-NOV-2019 07:03:45 , 52.45 , -172.88 ,4.6 ,126 
 05-NOV-2019 02:21:00 , 12.67 , 144.00 ,4.5 ,35 
 05-NOV-2019 00:05:30 , -18.55 , -175.29 ,4.9 ,10 
 04-NOV-2019 23:07:11 , -31.82 , -71.55 ,4.0 ,35 
 04-NOV-2019 22:46:10 , -18.60 , -175.70 ,5.5 ,10 
 04-NOV-2019 22:43:32 , -18.57 , -175.27 , 6.6 ,10 
 04-NOV-2019 21:53:25 , -31.84 , -71.38 ,6.1 ,53 
 04-NOV-2019 18:32:53 , -22.13 , -176.65 ,5.4 ,156 
 04-NOV-2019 16:26:41 , -7.80 , 127.92 ,4.5 ,135 
 04-NOV-2019 16:25:24 , -2.83 , 127.87 ,4.7 ,20 
 04-NOV-2019 15:52:05 , 43.46 , 147.83 ,4.6 ,10 
 04-NOV-2019 15:17:54 , -15.16 , 167.60 ,4.3 ,122 
 04-NOV-2019 14:50:06 , 14.65 , 119.72 ,4.9 ,35 
 04-NOV-2019 14:40:38 , -5.12 , 143.61 ,4.1 ,108 
 04-NOV-2019 14:38:47 , 33.60 , 135.93 ,4.1 ,410 
 04-NOV-2019 13:03:39 , -21.41 , -70.49 ,5.1 ,31 
 04-NOV-2019 10:30:13 , 55.09 , 111.65 ,4.9 ,10 
 04-NOV-2019 09:19:55 , -25.86 , -70.76 ,4.5 ,65 
 04-NOV-2019 07:00:08 , -2.70 , 140.16 ,4.4 ,35 
 04-NOV-2019 04:56:44 , -7.28 , 129.15 ,4.6 ,132 
 04-NOV-2019 02:20:13 , -31.57 , -69.66 ,4.0 ,112 
 04-NOV-2019 00:45:21 , 26.06 , 54.73 ,4.1 ,10 
 04-NOV-2019 00:18:40 , 26.13 , 54.70 ,4.2 ,10 
 03-NOV-2019 23:30:00 , -8.86 , 110.49 ,4.4 ,57 
 03-NOV-2019 23:29:34 , -31.63 , -69.21 ,4.5 ,115 
 03-NOV-2019 20:56:44 , -7.79 , 159.00 ,4.6 ,51 
 03-NOV-2019 20:34:57 , 38.77 , -122.77 ,4.1 ,3 
 03-NOV-2019 18:42:09 , 6.20 , 123.98 ,4.5 ,550 
 03-NOV-2019 18:29:18 , -17.76 , -69.84 ,4.5 ,132 
 03-NOV-2019 17:02:06 , -23.21 , 179.02 ,4.6 ,578 
 03-NOV-2019 16:38:26 , -14.69 , 171.69 ,4.3 ,623 
 03-NOV-2019 16:13:06 , 36.28 , 28.75 ,4.2 ,10 
 03-NOV-2019 16:07:32 , -35.01 , 179.41 ,5.1 ,85 
 03-NOV-2019 15:39:54 , 36.50 , 69.93 ,4.4 ,246 
 03-NOV-2019 15:27:32 , -20.20 , -178.27 ,4.3 ,571 
 03-NOV-2019 14:55:45 , 36.01 , 139.93 ,4.6 ,50 
 03-NOV-2019 14:42:20 , 5.79 , 127.07 ,4.7 ,48 
 03-NOV-2019 14:22:03 , -5.33 , 147.07 ,4.3 ,148 
 03-NOV-2019 13:24:58 , 33.64 , 46.39 ,4.4 ,10 
 03-NOV-2019 13:23:18 , -29.16 , -67.68 ,5.6 ,120 
 03-NOV-2019 12:41:02 , 36.57 , 70.83 ,4.3 ,190 
 03-NOV-2019 10:33:38 , -17.39 , -69.97 ,4.2 ,139 
 03-NOV-2019 09:49:52 , 2.86 , 96.15 ,4.6 ,24 
 03-NOV-2019 08:06:10 , -30.66 , -72.10 ,5.2 ,10 
 03-NOV-2019 05:02:44 , 37.33 , 141.73 ,4.7 ,33 
 03-NOV-2019 04:18:34 , 36.38 , 28.70 ,4.1 ,10 
 03-NOV-2019 03:54:03 , 19.11 , 121.23 ,4.9 ,49 
 03-NOV-2019 03:51:10 , -7.57 , 128.50 ,4.5 ,133 
 03-NOV-2019 03:32:56 , 2.13 , 121.73 ,4.4 ,549 
 03-NOV-2019 01:47:08 , 36.56 , 142.64 ,4.9 ,10 
 03-NOV-2019 01:37:55 , 36.48 , 142.66 ,4.6 ,10 
 03-NOV-2019 01:09:11 , -2.63 , 102.03 ,4.3 ,154 
 03-NOV-2019 00:13:48 , -19.73 , -178.02 ,4.3 ,525 
 02-NOV-2019 23:23:22 , 1.79 , 128.17 ,4.1 ,100 
 02-NOV-2019 23:18:09 , 47.08 , 151.72 ,4.3 ,120 
 02-NOV-2019 23:12:59 , -7.54 , 127.54 ,4.7 ,163 
 02-NOV-2019 22:41:41 , 17.63 , 147.99 ,4.9 ,10 
 02-NOV-2019 22:03:19 , -18.14 , 120.35 ,4.4 ,10 
 02-NOV-2019 21:29:55 , -8.23 , 118.53 ,4.4 ,169 
 02-NOV-2019 21:29:01 , -21.54 , -68.51 ,4.1 ,132 
 02-NOV-2019 19:37:15 , 44.22 , 139.83 ,4.0 ,250 
 02-NOV-2019 19:26:34 , 24.37 , 121.97 ,4.4 ,33 
 02-NOV-2019 18:08:41 , -55.67 , -26.23 ,6.1 ,8 
 02-NOV-2019 17:40:06 , 11.26 , -86.87 ,4.5 ,39 
 02-NOV-2019 17:39:28 , 35.88 , 140.16 ,4.5 ,102 
 02-NOV-2019 15:38:55 , 27.48 , 142.89 ,4.9 ,10 
 02-NOV-2019 15:33:40 , 38.39 , 142.24 ,4.4 ,21 
 02-NOV-2019 14:54:22 , 2.25 , -84.37 ,4.6 ,31 
 02-NOV-2019 14:11:34 , 44.38 , 17.54 ,4.7 ,10 
 02-NOV-2019 13:20:53 , -21.12 , -68.86 ,4.4 ,114 
 02-NOV-2019 12:20:09 , -2.49 , -80.78 ,4.4 ,43 
 02-NOV-2019 07:02:42 , 13.88 , 144.76 ,4.3 ,123 
 02-NOV-2019 05:16:10 , -6.29 , 142.46 ,4.9 ,35 
 02-NOV-2019 05:03:41 , 4.23 , 124.63 ,4.5 ,305 
 02-NOV-2019 03:06:41 , 35.66 , 140.73 ,4.5 ,42 
 02-NOV-2019 02:43:37 , 55.72 , 160.65 ,4.4 ,139 
 02-NOV-2019 02:41:54 , -3.33 , 130.60 ,4.9 ,28 
 02-NOV-2019 02:06:05 , 3.25 , 127.10 ,4.5 ,48 
 02-NOV-2019 00:13:34 , 36.53 , 69.99 ,4.0 ,222 
 01-NOV-2019 23:43:28 , -29.18 , -71.88 ,4.1 ,37 
 01-NOV-2019 22:36:14 , 35.32 , 89.02 ,4.6 ,10 
 01-NOV-2019 22:05:53 , -23.51 , -66.67 ,4.4 ,196 
 01-NOV-2019 21:38:52 , -17.46 , -178.94 ,4.0 ,521 
 01-NOV-2019 20:25:21 , 15.84 , -89.89 ,4.0 ,40 
 01-NOV-2019 19:17:52 , 47.20 , 151.51 ,4.4 ,35 
 01-NOV-2019 18:38:36 , 6.82 , 125.08 ,4.9 ,14 
 01-NOV-2019 16:33:25 , -3.29 , 130.74 ,4.7 ,53 
 01-NOV-2019 15:24:12 , 11.57 , -86.79 ,5.3 ,50 
 01-NOV-2019 10:17:04 , 36.51 , 31.46 ,4.0 ,88 
 01-NOV-2019 08:38:11 , -7.74 , 108.11 ,4.7 ,97 
 01-NOV-2019 08:20:57 , 32.69 , 48.16 ,4.5 ,10 
 01-NOV-2019 07:52:11 , -14.87 , 170.68 ,4.2 ,634 
 01-NOV-2019 07:04:41 , 1.49 , -85.28 ,4.4 ,10 
 01-NOV-2019 06:07:56 , 6.75 , 125.07 ,4.9 ,10 
 01-NOV-2019 05:25:45 , 40.52 , 20.81 ,4.7 ,14 
 01-NOV-2019 05:08:34 , -9.14 , 106.99 ,4.6 ,10 
 01-NOV-2019 04:14:12 , 3.14 , 126.79 ,4.5 ,89 
 01-NOV-2019 02:51:52 , 3.24 , 127.17 ,4.8 ,33 
 01-NOV-2019 02:34:01 , 3.19 , 127.00 ,5.4 ,54 
 01-NOV-2019 02:32:42 , -8.55 , 147.48 ,4.7 ,10 
 01-NOV-2019 00:30:08 , -5.75 , 146.77 ,4.5 ,48 
 01-NOV-2019 00:17:21 , -22.58 , -66.05 ,4.3 ,262 
 31-OCT-2019 23:18:21 , 6.81 , 125.18 ,4.6 ,10 
 31-OCT-2019 22:09:14 , -32.27 , -71.47 ,4.5 ,46 
 31-OCT-2019 21:13:51 , -17.78 , -178.52 ,4.5 ,545 
 31-OCT-2019 20:42:29 , 24.73 , 127.69 ,4.2 ,10 
 31-OCT-2019 20:18:03 , -23.19 , -114.78 ,4.5 ,10 
 31-OCT-2019 19:37:25 , 24.48 , 102.89 ,4.4 ,10 
 31-OCT-2019 19:28:38 , -6.82 , 128.03 ,4.4 ,297 
 31-OCT-2019 19:18:44 , -17.67 , -172.38 ,5.2 ,10 
 31-OCT-2019 17:35:30 , 6.76 , 125.11 ,4.9 ,14 
 31-OCT-2019 17:16:40 , -17.18 , -178.99 ,4.1 ,603 
 31-OCT-2019 16:38:36 , -24.29 , -176.51 ,5.0 ,29 
 31-OCT-2019 15:43:59 , 26.14 , 54.75 ,5.0 ,10 
 31-OCT-2019 12:54:22 , -7.50 , 156.81 ,5.1 ,403 
 31-OCT-2019 11:19:23 , -30.51 , 30.08 ,4.3 ,10 
 31-OCT-2019 10:41:17 , 7.06 , 125.43 ,4.5 ,10 
 31-OCT-2019 08:56:40 , 6.69 , 125.13 ,4.8 ,10 
 31-OCT-2019 08:24:04 , 43.81 , 147.22 ,4.5 ,66 
 31-OCT-2019 08:17:55 , -3.25 , 148.96 ,4.2 ,10 
 31-OCT-2019 08:03:33 , 28.83 , 102.40 ,4.3 ,10 
 31-OCT-2019 05:56:43 , -6.35 , 147.46 ,4.2 ,71 
 31-OCT-2019 05:34:23 , 6.85 , 125.11 ,4.6 ,10 
 31-OCT-2019 02:08:41 , -20.92 , -178.93 ,4.6 ,619 
 31-OCT-2019 01:11:19 , 6.91 , 125.16 , 6.5 ,10 
 31-OCT-2019 00:59:09 , 6.87 , 125.08 ,4.2 ,10 
 31-OCT-2019 00:53:15 , -22.32 , -67.68 ,4.2 ,192 
 30-OCT-2019 22:59:15 , -10.41 , 161.25 ,5.0 ,44 
 30-OCT-2019 22:59:08 , -7.34 , 119.99 ,4.6 ,408 
 30-OCT-2019 22:40:10 , 24.37 , 126.36 ,4.4 ,10 
